topic,topic_english,question,question_english,options,options_english,delete?
Stuttgart 21,Stuttgart 21,Übersteigen die Umweltauswirkungen von Stuttgart 21 das akzeptable Maß?,Do the environmental impacts of Stuttgart 21 exceed the acceptable level?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Stuttgart 21,Stuttgart 21,Ist das Projekt Stuttgart 21 eine Voraussetzung für die Verbesserung des Bahnverkehrs in der Region?,Is the Stuttgart 21 project a prerequisite for improving rail traffic in the region?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Stuttgart 21,Stuttgart 21,Überwiegen die negativen Folgen bei einem Abbruch von Stuttgart 21 gegenüber seiner Fortsetzung?,Do the negative consequences of discontinuing Stuttgart 21 outweigh its continuation?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Tempolimit auf Autobahnen,Speed limit on highways,"Halten Sie es für notwendig, ein generelles Tempolimit auf deutschen Autobahnen einzuführen?",Do you think it is necessary to introduce a general speed limit on German highways?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Tempolimit auf Autobahnen,Speed limit on highways,Überwiegt die Bedeutung der Fahr-Freiheit gegenüber den möglichen Vorteilen einer Geschwindigkeitsbegrenzung?,Does the importance of driving freedom outweigh the potential benefits of a speed limit?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Tempolimit auf Autobahnen,Speed limit on highways,Könnte ein Geschwindigkeitsbegrenzung auf Autobahnen zu mehr Verkehrssicherheit führen?,Could a speed limit on highways lead to more traffic safety?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Tempolimit auf Autobahnen,Speed limit on highways,Könnte ein Tempolimit auf Autobahnen zur Reduzierung der CO2-Emissionen beitragen?,Could a speed limit on highways contribute to reducing CO2 emissions?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Tierversuche,Animal experiments,"Meinen Sie, dass die Rechte der Tiere in Tierversuchen genügend berücksichtigt werden?",Do you think that the rights of animals are sufficiently considered in animal experiments?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Tierversuche,Animal experiments,Halten Sie Tierversuche für ethisch akzeptabel?,Do you consider animal testing ethically acceptable?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Tierversuche,Animal experiments,"Sind Sie der Meinung, dass Tierversuche für medizinische Forschungszwecke notwendig sind?",Do you believe that animal testing is necessary for medical research purposes?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Tierversuche,Animal experiments,Halten Sie ein vollständiges Verbot von Tierversuchen für richtig?,Do you think a complete ban on animal testing is right?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Tierversuche,Animal experiments,Können Ihrer Ansicht nach Tierversuche durch alternative Forschungsmethoden ersetzt werden?,"In your opinion, can animal testing be replaced by alternative research methods?","{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Videoüberwachung,Video surveillance,"Sollten Bürger das Recht haben, sich gegen die Videoüberwachung in bestimmten öffentlichen Bereichen zu entscheiden?",Should citizens have the right to opt out of video surveillance in certain public areas?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Videoüberwachung,Video surveillance,"Finden Sie, dass die Verwendung von Videoüberwachung in öffentlichen Bereichen zur Bekämpfung von Verbrechen intensiviert werden sollte?",Do you think the use of video surveillance in public areas should be intensified to combat crime?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Videoüberwachung,Video surveillance,"Sind Sie der Meinung, dass Videoüberwachung die Sicherheit in der Gesellschaft erhöht?",Do you believe that video surveillance increases safety in society?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Videoüberwachung,Video surveillance,"Halten Sie es für möglich, dass die vermehrte Anwendung von Videoüberwachung die Privatsphäre der Bürger übermäßig einschränkt?",Do you think it's possible that the increased use of video surveillance excessively restricts the privacy of citizens?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Videoüberwachung,Video surveillance,Schätzen Sie das Risiko von Missbrauch bei der Videoüberwachung als zu hoch ein?,Do you consider the risk of abuse in video surveillance too high?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Waffenexporte,Arms exports,Braucht die Regierung strengere Regulierungen für den Waffenexport?,Does the government need stricter regulations for arms exports?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Waffenexporte,Arms exports,Tragen Waffenexporte zur Sicherung von Arbeitsplätzen in Deutschland bei?,Do arms exports contribute to securing jobs in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Waffenexporte,Arms exports,"Glauben Sie, dass Deutschland weiterhin Waffen an seine Alliierten liefern sollte?",Do you believe that Germany should continue to supply weapons to its allies?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Waffenexporte,Arms exports,"Sollte Deutschland Ihrer Meinung nach Waffenlieferungen an Länder durchführen, die Menschenrechte verletzen?","In your opinion, should Germany carry out arms deliveries to countries that violate human rights?","{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",yes
Waffenexporte,Arms exports,"Ist es ethisch vertretbar, den Waffenexport vollständig zu stoppen?",Is it ethically justifiable to completely stop arms exports?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",yes?
Wolfsschutz,Wolf protection,"Müssen wir mehr Ressourcen bereitstellen, um das Bewusstsein für Wölfe und ihren Schutz zu erhöhen?",Do we need to provide more resources to raise awareness for wolves and their protection?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Wolfsschutz,Wolf protection,"Sollte eine Kontrolle und Reduzierung der Wolfspopulation in Deutschland durchgeführt werden, um die Interessen der Landwirte zu wahren?",Should a control and reduction of the wolf population in Germany be carried out to protect the interests of farmers?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Wolfsschutz,Wolf protection,Bedarf es eines strengen Schutzes für Wölfe in Deutschland?,Is there a need for strict protection for wolves in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Wolfsschutz,Wolf protection,"Ist es Ihrer Meinung nach gerechtfertigt, dass Landwirte Wölfe töten, die eine Gefahr für ihre Nutztiere darstellen?","In your opinion, is it justified for farmers to kill wolves that pose a threat to their livestock?","{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Wolfsschutz,Wolf protection,Sollte der Schutz der Wölfe weniger Priorität haben als die öffentliche Sicherheit?,Should the protection of wolves have less priority than public safety?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
